edge2,edge1,id,Year
58618,58937,58937,2016
32243,58937,58937,2016
32422,58937,58937,2016
3211,58937,58937,2016
22134,58937,58937,2016
53635,58937,58937,2016
65436,58937,58937,2016
3247,58945,58945,2015
6218,58945,58945,2015
52018,58945,58945,2015
52503,58945,58945,2015
2390,58945,58945,2015
4064,58945,58945,2015
2941,58945,58945,2015
2715,58945,58945,2015
2808,58945,58945,2015
33974,58945,58945,2015
22482,58945,58945,2015
59103,58957,58957,2015
55603,58957,58957,2015
4015,58957,58957,2015
2350,58957,58957,2015
3006,58957,58957,2015
60780,58957,58957,2015
38024,58957,58957,2015
43861,58957,58957,2015
51500,58957,58957,2015
37806,58957,58957,2015
3937,58957,58957,2015
4208,58957,58957,2015
4227,58957,58957,2015
3644,58957,58957,2015
37974,58957,58957,2015
37731,58957,58957,2015
4222,58957,58957,2015
4166,58957,58957,2015
49364,58957,58957,2015
2914,58957,58957,2015
5738,58957,58957,2015
55870,58957,58957,2015
3623,58957,58957,2015
21564,58957,58957,2015
3964,58957,58957,2015
37777,58957,58957,2015
3285,58957,58957,2015
38045,58957,58957,2015
3435,58957,58957,2015
3959,58959,58959,2015
6237,58959,58959,2015
52071,58959,58959,2015
37867,58959,58959,2015
55417,58959,58959,2015
55546,58959,58959,2015
2713,58959,58959,2015
4791,58959,58959,2015
52017,58959,58959,2015
58768,58959,58959,2015
55992,58959,58959,2015
2317,58959,58959,2015
43738,58959,58959,2015
55512,58959,58959,2015
51703,58959,58959,2015
21972,58961,58961,2015
55593,58961,58961,2015
59833,58961,58961,2015
4178,58961,58961,2015
53760,58961,58961,2015
51393,58961,58961,2015
52634,58961,58961,2015
4789,58961,58961,2015
3683,58961,58961,2015
52738,58961,58961,2015
53721,58961,58961,2015
52568,58961,58961,2015
1875,58961,58961,2015
3190,58961,58961,2015
53965,58961,58961,2015
53511,58964,58964,2015
53967,58964,58964,2015
53510,58964,58964,2015
53195,58964,58964,2015
58769,58964,58964,2015
27929,58964,58964,2015
32458,58964,58964,2015
3077,58964,58964,2015
41217,58964,58964,2015
22763,58964,58964,2015
21972,58968,58968,2015
22192,58968,58968,2015
53760,58968,58968,2015
3314,58968,58968,2015
1074,58968,58968,2015
22048,58968,58968,2015
22287,58968,58968,2015
46437,58968,58968,2015
55881,58968,58968,2015
62787,58968,58968,2015
3075,58982,58982,2018
68366,58982,58982,2018
32263,58982,58982,2018
42025,58982,58982,2018
32566,58982,58982,2018
43350,58982,58982,2018
55826,58982,58982,2018
45593,58982,58982,2018
3101,58982,58982,2018
2428,58982,58982,2018
4923,58982,58982,2018
52837,58982,58982,2018
53524,58982,58982,2018
43055,58982,58982,2018
2455,58982,58982,2018
65455,58982,58982,2018
60327,58982,58982,2018
52737,58982,58982,2018
6468,58982,58982,2018
59625,58982,58982,2018
44215,58982,58982,2018
56114,58982,58982,2018
53427,58982,58982,2018
60315,58982,58982,2018
44141,58982,58982,2018
3423,58982,58982,2018
2988,58987,58987,2018
22511,58987,58987,2018
59672,58987,58987,2018
3113,58987,58987,2018
55593,58987,58987,2018
4178,58987,58987,2018
3916,58987,58987,2018
53760,58987,58987,2018
55531,58987,58987,2018
60088,58987,58987,2018
4953,58987,58987,2018
22332,58987,58987,2018
55881,58987,58987,2018
44063,58987,58987,2018
22341,58987,58987,2018
52539,58987,58987,2018
53965,58987,58987,2018
20338,58988,58988,2018
59922,58988,58988,2018
22387,58988,58988,2018
52529,58988,58988,2018
20172,58988,58988,2018
56025,58988,58988,2018
20307,58988,58988,2018
53598,58988,58988,2018
53781,58988,58988,2018
52708,58988,58988,2018
22838,58988,58988,2018
60729,58988,58988,2018
3099,59001,59001,2018
3994,59001,59001,2018
7055,59001,59001,2018
52016,59001,59001,2018
43627,59001,59001,2018
55690,59001,59001,2018
34700,59001,59001,2018
44018,59001,59001,2018
56114,59001,59001,2018
3408,59001,59001,2018
53196,59001,59001,2018
55422,59001,59001,2018
3099,59002,59002,2018
53621,59002,59002,2018
51808,59002,59002,2018
3046,59002,59002,2018
53760,59002,59002,2018
4125,59002,59002,2018
3147,59002,59002,2018
52996,59002,59002,2018
22335,59002,59002,2018
3466,59002,59002,2018
3101,59002,59002,2018
2547,59002,59002,2018
60003,59002,59002,2018
52737,59002,59002,2018
3023,59002,59002,2018
59625,59002,59002,2018
52624,59002,59002,2018
2822,59002,59002,2018
53131,59002,59002,2018
59602,59002,59002,2018
60494,59002,59002,2018
3465,59002,59002,2018
53427,59002,59002,2018
3190,59002,59002,2018
53965,59002,59002,2018
3476,59003,59003,2018
51643,59003,59003,2018
3113,59003,59003,2018
51665,59003,59003,2018
